title,description,category,sub_category,type,image_link,availability
Antique Stained Glass Cabinet Doors Windows w Candle Stand & Flame Glass Panels,"Please Contact us for an EXACT Shipping Quote.
The amount posted IS NOT accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:

************************
Unique Stained Glass Doors in Good Vintage Condition.  
They are Old and have wear that is usual for their age. Please see the photos. 
Overall a Gorgeous pair of Cabinet Doors that you will love having in your home!!
Measurements:   26 1/2""H x 17 1/2""W 

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Decor,Decorative Accessories,Decorative Accents,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_ba4732b7-05b2-43be-97af-d45eac4026c5.jpg,in_stock
Vintage Henredon French Country Brown Oak Entry Console Table,"Please Contact us for an EXACT Shipping Quote.
The amount posted may not be accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:

************************
Gorgeous Table in Good Vintage Condition. Solid and Firm. 
The finish on the table top in an area about the size of a quater 
has worn off but it is almost unnoticeable. 
Otherwise, Wear is usual for its age. Please see the photos. 
Overall a Gorgeous Table that you will love having in your home!!
Measurements:   28.5"" High x  58"" x 16""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Tables & Desks,Tables,Console tables,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_ae286dfd-bf9f-443a-a113-a0b1c22278fb.jpg,in_stock
"Set of 2 Chinoiserie Display Cabinets by Bernhardt - Vintage Lighted Burl Wood, Mirror, Gold Tone, Glass Case Curio Vatrine Asian Style Pair","Pair of Bernhardt display cabinets feature burlwood, Asian style hardware, mirrored backs, glass doors, removable glass shelves, spacious dovetailed drawers and lights. They are sturdy and in fair vintage condition with scuffs, hardware oxidation and some chips on the edges of the glass shelves. 

*Shipping is not free. For long-distance shipping, please message me your zip code for a shipping quote. Local pickup is available in Fort Myers, FL.*

•This set includes 2 cabinets. 
•Each measures 32"" wide x 18"" deep x 78"" high.
•Come from a smoke free home.

I am Elle Woodworth and my husband and I are experts at sourcing vintage treasures. Interested in seeing more? Meet us at our Fort Myers, FL warehouse to see all of our goodies! Call or text me at 239-560-2008 with any furniture questions or to schedule a time to meet.

SHIPPING:
Please message me for a shipping quote. We blanket wrap and carefully secure items for safe delivery to the 48 contiguous United States. We give you shipping updates as your item is being delivered.

LOCAL PICKUP:
We can meet in Fort Myers, FL.

RETURNS:
Cancellations are accepted within 24 hours of purchase. No returns or exchanges are accepted. Please contact me if you have any problems with your order. Upon receiving your item, it is your responsibility to fully inspect the piece before the furniture shipper leaves and contact me immediately if there is an issue. 

We offer unique vintage items that may have imperfections. Please feel free to ask as many questions and request as many pictures as you'd like before ordering. I am happy to help. -Elle",Storage,Storage & Display Cabinets,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_25a2dafd-2119-41e1-b289-f3a54055d49f.jpg,in_stock
Chef’s Choice Bagelpro 680, New in package bagel slicer ,Decor,Decorative Accessories,Decorative Accents,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_d4457aaf-bca8-4b07-bab8-7fd3d3619a19.jpg,in_stock
Overstuffed Brown Power Lift Recliner,"Overstuffed Brown Power Lift Recliner  
 
 
 Height  = 44""H 
 
 Depth  = 31""D 
 
 Width  = 36""w 
  
 
  Item Number:  
13761-10  
  Item ID:  
60693  
  Category:  
Recliners  ",Seating,Armchairs,Recliners,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_f4bbcbde-0d8a-484d-8376-a1f94183118a.jpg,in_stock
Kroehler Taupe 5 Drawer Dresser,"Kroehler Taupe 5 Drawer Dresser  
 
 
 Brand  = Kroehler 
 
 Height  = 44""H 
 
 Depth  = 20""D 
 
 Width  = 38""W 
  
 
  Item Number:  
13761-12  
  Item ID:  
60695  
  Category:  
Dressers  ",Storage,Dressers & Chests of Drawers,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_c81fe688-800e-4f93-aa7a-471d1b8ff01e.jpg,in_stock
Glaze Effects - Tawny  Pint, Template not found - C:\RWD\AuctionTemplates\eBayTemplate ,Decor,Wall Art,Picture Frames,,out_of_stock
Cabinet,,Storage,Storage & Display Cabinets,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_91de23dc-557c-4964-9ae5-8e61c49e251b.png,in_stock
Vintage Antique Buffet Cabinet Sideboard Hutch Console Server Carved Wood DH225-5," Elevate your home decor with our Vintage Antique Buffet Cabinet. Made of carved wood, this piece adds warmth and sophistication to any room. With ample storage space and a timeless design, it's perfect for hosting and displaying your favorite dishes and home decor. A must-have for any vintage lover! 
 Dimensions: 66 x 20 x 36""H  
 Condition: Very good.   
 Local pick up Annandale, VA.  Contact us for shipper suggestions ",Storage,Sideboards & Credenzas,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_db4c58a7-e96a-4492-b8e3-d2535219eb68.jpg,in_stock
SunPan Zuma Solterra Gray Concrete Top Coffee Table MTF156-23,"   Description: From the Solterra collection, this table features a concrete top with a black/charcoal soft slate effect and a black tempered glass shelf. Finished with sleek black steel legs with brushed gold footcaps.   
  Dimensions: 40 x 40 x 17 in  |   Weight : 122 lbs.   
  Condition: New  
  Location: Local pick up Portland, OR.  Shipping Suggestions available upon request.  
   ",Tables & Desks,Tables,Coffee tables,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_c6e127f5-7b4b-4da8-8017-1522327f7b13.png,in_stock
