title,description,category,sub_category,type
Original Watercolor Painting - Modernist Abstract Human Form,"Features an ornate gold frame with black trim, beige single matting, and modernist/abstract style image of a human subject facing away from the perspective. Artist Signed.  
 
	
		 
 Condition  = Exc. Cond. 
	
		 
 Art Medium  = Watercolor 
	
		 
 Color  = Multi-Color 
	
		 
 Matting  = Single Mat 
	
		 
 Signed  = Signed 
	
		 
 Height:  36 in. 
		 
 Width:  28 in. 
		 
 Length:  0 in. 
 
  Item Number:  
17458-2  
  Item ID:  
101885  
  Category:  
Framed Art  ",,,
New Classical Power Dual Reclining Sofa,"Features black leather/vinyl match upholstery with decorative stitching, tufted backs and seats, angled pillow top arms, decorative under lighting, &amp; recline buttons and UBS port at each end.  
 
	
		 
 Manufacturer  = New Classic 
	
		 
 Condition  = Normal Wear 
	
		 
 Color  = Black 
	
		 
 Upholstery  = Leather/Vinyl Match 
	
		 
 Heavy Item  = 150 lbs. or more 
	
		 
 Height:  40 in. 
		 
 Width:  89 in. 
		 
 Length:  36 in. 
 
  Item Number:  
18850-1  
  Item ID:  
101863  
  Category:  
Sofa  ",,,
Neighbors of Woodcraft Black Console Table,"Features Mediterranean styling, a black finish, rectangular table top with beveled edges, paneled wood skirted trim, turned round post legs with square feet, and stretcher supports.  
 
	
		 
 Manufacturer  = Neighbors of Woodcraft 
	
		 
 Condition  = Good Cond. 
	
		 
 Style  = Mediterranean 
	
		 
 Color  = Black 
	
		 
 Height:  30 in. 
		 
 Width:  73 in. 
		 
 Length:  21 in. 
 
  Item Number:  
18846-2  
  Item ID:  
101857  
  Category:  
Accent Table  ",,,
Modern Power Lift Recliner,"Features black vinyl upholstery, modern styling, angled pillow top arms, padded head rest, 2 USB ports at the right hand side, and remote control power lift and recline functions.  
 
	
		 
 Condition  = Good Cond. 
	
		 
 Style  = Modern Style 
	
		 
 Color  = Black 
	
		 
 Upholstery  = Vinyl 
	
		 
 Seat Width  = Seat Width: 20"" 
	
		 
 Detail 5  = Mfr. Unknown 
	
		 
 Height:  42 in. 
		 
 Width:  37 in. 
		 
 Length:  39 in. 
 
  Item Number:  
18850-2  
  Item ID:  
101864  
  Category:  
Power Lift Chair  ",,,
Mid-Century Leather Lounge Chair,"Features mid-century modern styling, a bentwood frame, and cognac brown tufted leather back and seat cushion.  
 
	
		 
 Condition  = Good Cond. 
	
		 
 Style  = Mid-Century 
	
		 
 Color  = Cognac 
	
		 
 Upholstery  = Leather 
	
		 
 Seat Width  = Seat Width: 25'' 
	
		 
 Detail 5  = Mfr. Unknown 
	
		 
 Height:  38 in. 
		 
 Width:  25 in. 
		 
 Length:  34 in. 
 
  Item Number:  
18846-3  
  Item ID:  
101858  
  Category:  
Accent Chair  ",,,
Meridian 6 Drawer Chest on Chest,"Features a dark mahogany finish, Spanish Colonial styling, 6 drawers with burlwood veneer drawer fronts, fluted side pillar accents, carved &amp; beveled molding, and bun style feet.  
 
	
		 
 Manufacturer  = Meridian 
	
		 
 Condition  = Exc. Cond. 
	
		 
 Style  = Mediterranean 
	
		 
 Color  = Dark Finish 
	
		 
 Hardware Color  = Bronze 
	
		 
 Drawer Qty.  = 6 Drawers 
	
		 
 Height:  60 in. 
		 
 Width:  40 in. 
		 
 Length:  20 in. 
 
  Item Number:  
3607-5730  
  Item ID:  
101861  
  Category:  
Chest on Chest  ",,,
Klaussner Counter Height Dining Table w/4 Chairs,"Features a factory rustic warm mahogany finish, rectangular table top with simple wood skirted trim, tapered square post legs, and 4 matching chairs with brown leather seats. Includes an 18'' Butterfly style table leaf.       ""Length"" dimension shown below does not include leaves.    
 
	
		 
 Manufacturer  = Klaussner 
	
		 
 Condition  = Good Cond. 
	
		 
 Style  = Rustic Style 
	
		 
 Leaf Qty.  = 1 Leaf 
	
		 
 Leaf Width  = 18"" Leaf 
	
		 
 Upholstery  = Leather 
	
		 
 Height:  36 in. 
		 
 Width:  36 in. 
		 
 Length:  54 in. 
 
  Item Number:  
18844-1  
  Item ID:  
101869  
  Category:  
Dining Table w/Chairs  ",,,
Ethan Allen Brass Candlestick Buffet Table Lamp,"Features a round dark wood finish footed base, turned polished brass body, dark birch finish candlestick post, and a flared pleated shade. 1 bulb, 150W Max.  
 
	
		 
 Manufacturer  = Ethan Allen 
	
		 
 Condition  = Good Cond. 
	
		 
 Style  = Traditional Style 
	
		 
 Color  = Brass 
	
		 
 Height:  38 in. 
		 
 Width:  12 in. 
		 
 Length:  12 in. 
 
  Item Number:  
3607-5731  
  Item ID:  
101862  
  Category:  
Table Lamp  ",,,
Cherry Writing Desk,"Features a cherry finish over oak and cherry wood grains, rectangular top, brown microfiber lined drawer with pewter drawer pulls, straight square post legs with 'A' frame side supports, and stretcher base.  
 
	
		 
 Condition  = Good Cond. 
	
		 
 Color  = Cherry 
	
		 
 Drawer Qty.  = 1 Drawer 
	
		 
 Drawer Slides  = Metal Drawer Slides 
	
		 
 Hardware Color  = Pewter 
	
		 
 Height:  30 in. 
		 
 Width:  46 in. 
		 
 Length:  20 in. 
 
  Item Number:  
18850-4  
  Item ID:  
101866  
  Category:  
Desk  ",,,
Ashley Furniture Dining Table w/4 Chairs + Bench,"Features a dark finish, tapered square post legs, 4 chairs with curved slatted backs and black vinyl seats, and a bench with square tufted upholstery. Bench H: 19'' X W: 50'' X D: 17''.      ""Length"" dimension shown below does not include leaves.    
 
	
		 
 Manufacturer  = Ashley 
	
		 
 Condition  = Good Cond. 
	
		 
 Side Chair Qty.  = 4 Side Chairs 
	
		 
 Leaf Qty.  = 1 Leaf 
	
		 
 Leaf Width  = 18"" Leaf 
	
		 
 Upholstery  = Vinyl 
	
		 
 Height:  31 in. 
		 
 Width:  60 in. 
		 
 Length:  42 in. 
 
  Item Number:  
18850-3  
  Item ID:  
101865  
  Category:  
Dining Table w/Chairs  ",,,
